[2025-09-20T15:19:10.810Z] Starting DevFlow Enforcement Daemon...
[2025-09-20T15:19:10.812Z] PID file written: /Users/fulvioventura/devflow/devflow-enforcement-daemon.pid
[2025-09-20T15:19:10.813Z] DevFlow Enforcement Daemon started successfully
[2025-09-20T15:19:10.813Z] PID: 65454
[2025-09-20T15:19:10.813Z] Health check port: 8787
[2025-09-20T15:19:10.813Z] Enforcement rules: MDR-001, MDR-002, MDR-003 loaded
[2025-09-20T15:47:01.000Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:47:01.000Z] Enforcement cycle completed - system compliant
[2025-09-20T15:47:11.001Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:47:11.001Z] Enforcement cycle completed - system compliant
[2025-09-20T15:47:21.002Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:47:21.003Z] Enforcement cycle completed - system compliant
[2025-09-20T15:47:31.004Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:47:31.004Z] Enforcement cycle completed - system compliant
[2025-09-20T15:47:41.005Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:47:41.005Z] Enforcement cycle completed - system compliant
[2025-09-20T15:47:51.006Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:47:51.007Z] Enforcement cycle completed - system compliant
[2025-09-20T15:48:01.007Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:48:01.007Z] Enforcement cycle completed - system compliant
[2025-09-20T15:48:11.007Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:48:11.007Z] Enforcement cycle completed - system compliant
[2025-09-20T15:48:21.009Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:48:21.009Z] Enforcement cycle completed - system compliant
[2025-09-20T15:48:31.009Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:48:31.009Z] Enforcement cycle completed - system compliant
[2025-09-20T15:48:41.010Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:48:41.010Z] Enforcement cycle completed - system compliant
[2025-09-20T15:48:51.011Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:48:51.011Z] Enforcement cycle completed - system compliant
[2025-09-20T15:49:01.012Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:49:01.013Z] Enforcement cycle completed - system compliant
[2025-09-20T15:49:11.013Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:49:11.013Z] Enforcement cycle completed - system compliant
[2025-09-20T15:49:21.014Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:49:21.015Z] Enforcement cycle completed - system compliant
[2025-09-20T15:49:31.015Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:49:31.015Z] Enforcement cycle completed - system compliant
[2025-09-20T15:49:41.016Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:49:41.017Z] Enforcement cycle completed - system compliant
[2025-09-20T15:49:51.018Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:49:51.018Z] Enforcement cycle completed - system compliant
[2025-09-20T15:50:01.019Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:50:01.019Z] Enforcement cycle completed - system compliant
[2025-09-20T15:50:11.021Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:50:11.021Z] Enforcement cycle completed - system compliant
[2025-09-20T15:50:21.022Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:50:21.022Z] Enforcement cycle completed - system compliant
[2025-09-20T15:50:31.023Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:50:31.023Z] Enforcement cycle completed - system compliant
[2025-09-20T15:50:41.024Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:50:41.024Z] Enforcement cycle completed - system compliant
[2025-09-20T15:50:51.025Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:50:51.025Z] Enforcement cycle completed - system compliant
[2025-09-20T15:51:01.026Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:51:01.026Z] Enforcement cycle completed - system compliant
[2025-09-20T15:51:11.027Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:51:11.027Z] Enforcement cycle completed - system compliant
[2025-09-20T15:51:21.029Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:51:21.029Z] Enforcement cycle completed - system compliant
[2025-09-20T15:51:31.030Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:51:31.030Z] Enforcement cycle completed - system compliant
[2025-09-20T15:51:41.030Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:51:41.031Z] Enforcement cycle completed - system compliant
[2025-09-20T15:51:51.032Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:51:51.032Z] Enforcement cycle completed - system compliant
[2025-09-20T15:52:01.033Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:52:01.033Z] Enforcement cycle completed - system compliant
[2025-09-20T15:52:11.035Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:52:11.035Z] Enforcement cycle completed - system compliant
[2025-09-20T15:52:21.036Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:52:21.036Z] Enforcement cycle completed - system compliant
[2025-09-20T15:52:31.037Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:52:31.037Z] Enforcement cycle completed - system compliant
[2025-09-20T15:52:41.039Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:52:41.039Z] Enforcement cycle completed - system compliant
[2025-09-20T15:52:51.039Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:52:51.040Z] Enforcement cycle completed - system compliant
[2025-09-20T15:53:01.041Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:53:01.041Z] Enforcement cycle completed - system compliant
[2025-09-20T15:53:11.042Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:53:11.043Z] Enforcement cycle completed - system compliant
[2025-09-20T15:53:21.045Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:53:21.046Z] Enforcement cycle completed - system compliant
[2025-09-20T15:53:31.046Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:53:31.046Z] Enforcement cycle completed - system compliant
[2025-09-20T15:53:41.047Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:53:41.047Z] Enforcement cycle completed - system compliant
[2025-09-20T15:53:51.047Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:53:51.048Z] Enforcement cycle completed - system compliant
[2025-09-20T15:54:01.049Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:54:01.049Z] Enforcement cycle completed - system compliant
[2025-09-20T15:54:11.050Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:54:11.050Z] Enforcement cycle completed - system compliant
[2025-09-20T15:54:21.051Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:54:21.052Z] Enforcement cycle completed - system compliant
[2025-09-20T15:54:31.052Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:54:31.052Z] Enforcement cycle completed - system compliant
[2025-09-20T15:54:41.053Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:54:41.054Z] Enforcement cycle completed - system compliant
[2025-09-20T15:54:51.054Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:54:51.055Z] Enforcement cycle completed - system compliant
[2025-09-20T15:55:01.055Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:55:01.055Z] Enforcement cycle completed - system compliant
[2025-09-20T15:55:11.055Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:55:11.055Z] Enforcement cycle completed - system compliant
[2025-09-20T15:55:21.057Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:55:21.057Z] Enforcement cycle completed - system compliant
[2025-09-20T15:55:31.058Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:55:31.058Z] Enforcement cycle completed - system compliant
[2025-09-20T15:55:41.059Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:55:41.059Z] Enforcement cycle completed - system compliant
[2025-09-20T15:55:51.061Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:55:51.062Z] Enforcement cycle completed - system compliant
[2025-09-20T15:56:01.062Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:56:01.062Z] Enforcement cycle completed - system compliant
[2025-09-20T15:56:11.062Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:56:11.063Z] Enforcement cycle completed - system compliant
[2025-09-20T15:56:21.064Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:56:21.065Z] Enforcement cycle completed - system compliant
[2025-09-20T15:56:31.064Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:56:31.065Z] Enforcement cycle completed - system compliant
[2025-09-20T15:56:41.066Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:56:41.068Z] Enforcement cycle completed - system compliant
[2025-09-20T15:56:51.066Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:56:51.066Z] Enforcement cycle completed - system compliant
[2025-09-20T15:57:01.068Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:57:01.069Z] Enforcement cycle completed - system compliant
[2025-09-20T15:57:11.069Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:57:11.070Z] Enforcement cycle completed - system compliant
[2025-09-20T15:57:21.070Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:57:21.071Z] Enforcement cycle completed - system compliant
[2025-09-20T15:57:31.072Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:57:31.074Z] Enforcement cycle completed - system compliant
[2025-09-20T15:57:41.073Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:57:41.073Z] Enforcement cycle completed - system compliant
[2025-09-20T15:57:51.074Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:57:51.076Z] Enforcement cycle completed - system compliant
[2025-09-20T15:58:01.075Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:58:01.075Z] Enforcement cycle completed - system compliant
[2025-09-20T15:58:11.075Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:58:11.076Z] Enforcement cycle completed - system compliant
[2025-09-20T15:58:21.076Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:58:21.076Z] Enforcement cycle completed - system compliant
[2025-09-20T15:58:31.077Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:58:31.078Z] Enforcement cycle completed - system compliant
[2025-09-20T15:58:41.079Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:58:41.079Z] Enforcement cycle completed - system compliant
[2025-09-20T15:58:51.079Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:58:51.080Z] Enforcement cycle completed - system compliant
[2025-09-20T15:59:01.080Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:59:01.081Z] Enforcement cycle completed - system compliant
[2025-09-20T15:59:11.082Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:59:11.082Z] Enforcement cycle completed - system compliant
[2025-09-20T15:59:21.083Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:59:21.084Z] Enforcement cycle completed - system compliant
[2025-09-20T15:59:31.085Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:59:31.085Z] Enforcement cycle completed - system compliant
[2025-09-20T15:59:41.086Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:59:41.086Z] Enforcement cycle completed - system compliant
[2025-09-20T15:59:51.088Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:59:51.088Z] Enforcement cycle completed - system compliant
